Date,AAPL,MSFT,NVDA,GOOG,META,^GSPC
2026-04-06,258.8599853515625,372.8800048828125,177.63999938964844,297.6600036621094,573.02001953125,6611.830078125
2026-04-07,253.5,372.2900085449219,178.10000610351562,303.92999267578125,575.0499877929688,6616.85009765625
2026-04-08,258.8999938964844,374.3299865722656,182.0800018310547,314.739990234375,612.4199829101562,6782.81005859375
2026-04-09,260.489990234375,373.0700073242188,183.91000366210935,316.3699951171875,628.3900146484375,6824.66015625
2026-04-10,260.4800109863281,370.8699951171875,188.6300048828125,315.7200012207031,629.8599853515625,6816.89013671875
2026-04-13,259.20001220703125,384.3699951171875,189.30999755859372,319.2099914550781,634.530029296875,6886.240234375
2026-04-14,258.8299865722656,393.1099853515625,196.50999450683597,330.5799865722656,662.489990234375,6967.3798828125
2026-04-15,266.42999267578125,411.2200012207031,198.8699951171875,334.4700012207031,671.5800170898438,7022.9501953125
2026-04-16,263.3999938964844,420.260009765625,198.3500061035156,332.7699890136719,676.8699951171875,7041.27978515625
2026-04-17,270.2300109863281,422.7900085449219,201.67999267578125,339.3999938964844,688.5499877929688,7126.06005859375
2026-04-20,273.04998779296875,418.0700073242188,202.05999755859372,335.3999938964844,670.9099731445312,7109.14013671875
2026-04-21,266.1700134277344,424.1600036621094,199.8800048828125,330.4700012207031,668.8400268554688,7064.009765625
2026-04-22,273.1700134277344,432.9200134277344,202.5,337.7300109863281,674.719970703125,7137.89990234375
2026-04-23,273.42999267578125,415.75,199.63999938964844,337.75,659.1500244140625,7108.39990234375
2026-04-24,271.0599975585937,424.6199951171875,208.2700042724609,342.32000732421875,675.030029296875,7165.080078125
2026-04-27,267.6099853515625,424.8200073242188,216.6100006103516,348.5199890136719,678.6199951171875,7173.91015625
2026-04-28,270.7099914550781,429.25,213.1699981689453,347.5,671.3400268554688,7138.7998046875
2026-04-29,270.1700134277344,424.4599914550781,209.25,347.3099975585937,669.1199951171875,7135.9501953125
2026-04-30,271.3500061035156,407.7799987792969,199.57000732421875,381.9400024414063,611.9099731445312,7209.009765625
2026-05-01,280.1400146484375,414.4400024414063,198.4499969482422,383.2200012207031,608.75,7230.1201171875
2026-05-04,276.8299865722656,413.6199951171875,198.47999572753903,379.6400146484375,610.4099731445312,7200.75
2026-05-05,284.17999267578125,411.3800048828125,196.5,384.2699890136719,604.9600219726562,7259.22021484375
2026-05-06,287.510009765625,413.9599914550781,207.8300018310547,395.1400146484375,612.8800048828125,7365.1201171875
2026-05-07,287.44000244140625,420.7699890136719,211.5,395.2999877929688,616.8099975585938,7337.10986328125
2026-05-08,293.32000732421875,415.1199951171875,215.1999969482422,397.0499877929688,609.6300048828125,7398.93017578125
2026-05-11,292.67999267578125,412.6600036621094,219.44000244140625,386.7699890136719,598.8599853515625,7412.83984375
2026-05-12,294.79998779296875,407.7699890136719,220.77999877929688,383.8200073242188,603.0,7400.9599609375
2026-05-13,298.8699951171875,405.2099914550781,225.8300018310547,399.0400085449219,616.6300048828125,7444.25
2026-05-14,298.2099914550781,409.4299926757813,235.7400054931641,397.1700134277344,618.4299926757812,7501.240234375
2026-05-15,300.2300109863281,421.9200134277344,225.32000732421875,393.3200073242188,614.22998046875,7408.5
2026-05-18,297.8399963378906,423.5400085449219,222.32000732421875,393.1099853515625,611.2100219726562,7403.0498046875
2026-05-19,298.9700012207031,417.4200134277344,220.6100006103516,384.8999938964844,602.6099853515625,7353.60986328125
2026-05-20,302.25,421.05999755859375,223.47000122070312,384.8999938964844,605.0599975585938,7432.97021484375
2026-05-21,304.989990234375,419.0899963378906,219.50999450683597,383.4700012207031,607.3800048828125,7445.72021484375
2026-05-22,308.82000732421875,418.5700073242188,215.3300018310547,379.3800048828125,610.260009765625,7473.47021484375
